Unnamed: 0,game_id,game_title,month,peak_users,picture_url
667237,863550,HITMAN™ 2,2018-12-01,356867,https://steamcdn-a.akamaihd.net/steam/apps/863550/logo.png
648743,308600,Geneshift,2018-12-01,213183,https://steamcdn-a.akamaihd.net/steam/apps/308600/logo.png
172419,402390,Hyperdrive Massacre,2018-12-01,180471,https://steamcdn-a.akamaihd.net/steam/apps/402390/logo.png
550303,231430,Company of Heroes 2,2018-12-01,161908,https://steamcdn-a.akamaihd.net/steam/apps/231430/logo.png
687289,359550,Tom Clancy's Rainbow Six Siege,2018-12-01,129558,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
627941,238960,Path of Exile,2018-12-01,123462,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
663291,271590,Grand Theft Auto V,2018-12-01,120693,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
693046,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-11-01,895650,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691848,570,Dota 2,2018-11-01,826053,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673307,730,Counter-Strike: Global Offensive,2018-11-01,546031,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
178781,395170,DISTRAINT: Deluxe Edition,2018-11-01,162795,https://steamcdn-a.akamaihd.net/steam/apps/395170/logo.png
632434,230410,Warframe,2018-11-01,131766,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
524167,582010,MONSTER HUNTER: WORLD,2018-11-01,122496,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
687290,359550,Tom Clancy's Rainbow Six Siege,2018-11-01,115820,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
691675,346110,ARK: Survival Evolved,2018-11-01,106170,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
635110,440,Team Fortress 2,2018-11-01,93560,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
663292,271590,Grand Theft Auto V,2018-11-01,81360,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
693047,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-10-01,1048662,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691849,570,Dota 2,2018-10-01,739643,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673308,730,Counter-Strike: Global Offensive,2018-10-01,565968,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
654206,491950,Orwell,2018-10-01,150575,https://steamcdn-a.akamaihd.net/steam/apps/491950/logo.png
556854,638070,Murderous Pursuits,2018-10-01,144294,https://steamcdn-a.akamaihd.net/steam/apps/638070/logo.png
687291,359550,Tom Clancy's Rainbow Six Siege,2018-10-01,123794,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
524168,582010,MONSTER HUNTER: WORLD,2018-10-01,122588,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
583982,510840,Evolvation,2018-10-01,100638,https://steamcdn-a.akamaihd.net/steam/apps/510840/logo.png
632435,230410,Warframe,2018-10-01,99735,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
635111,440,Team Fortress 2,2018-10-01,97329,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
693048,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-09-01,1125229,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691850,570,Dota 2,2018-09-01,826166,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673309,730,Counter-Strike: Global Offensive,2018-09-01,583029,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
524169,582010,MONSTER HUNTER: WORLD,2018-09-01,227644,https://steamcdn-a.akamaihd.net/steam/apps/582010/logo.png
151926,96000,The Tiny Bang Story,2018-09-01,163735,https://steamcdn-a.akamaihd.net/steam/apps/96000/logo.png
687292,359550,Tom Clancy's Rainbow Six Siege,2018-09-01,143866,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
663294,271590,Grand Theft Auto V,2018-09-01,97920,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
632436,230410,Warframe,2018-09-01,86984,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
